Topic,Tier,Label,N,Persistent,New,Lost,Absent
Child support,generic,Verantwortung,383,65.8,13.3,12.5,8.4
Child support,generic,Konflikt,383,66.6,11.0,14.4,8.1
Child support,generic,Betroffenheit,383,88.8,4.2,4.7,2.3
Child support,generic,Wirtschaftlichkeit,383,62.4,13.8,13.1,10.7
Child support,generic,Moral,383,70.2,8.4,15.1,6.3
Child support,issue,Armutsbekaempfung,383,74.7,9.9,9.7,5.7
Child support,issue,Buerokratie,383,17.8,15.1,20.1,47.0
Child support,issue,Bildungschancen,383,58.0,13.6,18.5,9.9
Child support,issue,Finanzierung,383,34.2,16.7,21.4,27.7
Child support,issue,Umsetzung,383,18.3,17.2,20.4,44.1
Cannabis,generic,Verantwortung,460,56.3,17.4,12.8,13.5
Cannabis,generic,Konflikt,460,79.8,7.4,8.7,4.1
Cannabis,generic,Betroffenheit,460,86.7,5.0,5.4,2.8
Cannabis,generic,Wirtschaftlichkeit,460,62.6,17.4,12.6,7.4
Cannabis,generic,Moral,460,72.8,13.3,7.8,6.1
Cannabis,issue,Jugendschutz,460,27.2,17.2,17.0,38.7
Cannabis,issue,Kriminalitaet,460,4.8,10.2,9.1,75.9
Cannabis,issue,Gesundheit,460,54.6,16.7,14.8,13.9
Cannabis,issue,Freiheit,460,25.2,15.7,17.6,41.5
Cannabis,issue,Regulierung,460,48.9,18.3,15.7,17.2
