Tier,Label,N,Rate_german,Rate_multiling,Agreement,Kappa,r
generic,Verantwortung,1902,74.711,1.84,26.393,0.003,0.021
generic,Betroffenheit,1902,91.64,85.279,86.488,0.345,0.45
generic,Moral,1902,81.861,87.171,78.812,0.195,0.254
generic,Wirtschaftlichkeit,1902,76.183,53.575,60.147,0.172,0.279
generic,Konflikt,1902,82.913,82.913,75.92,0.15,0.295
issue,Finanzierung,911,53.568,28.54,57.849,0.182,0.281
issue,Buerokratie,911,36.004,64.654,57.3,0.211,0.294
issue,Armutsbekaempfung,911,81.668,65.971,66.74,0.166,0.292
issue,Bildungschancen,911,72.119,91.658,75.851,0.235,0.474
issue,Umsetzung,911,35.675,35.016,64.874,0.231,0.347
stance,pro,1902,36.751,29.863,81.756,0.592,0.784
stance,ambivalent,1902,40.116,38.959,68.77,0.347,0.546
stance,contra,1902,10.358,22.24,86.225,0.508,0.815
issue,Regulierung,991,65.994,56.206,68.012,0.334,0.474
issue,Jugendschutz,991,43.693,39.354,61.958,0.218,0.366
issue,Gesundheit,991,69.627,78.507,72.755,0.298,0.42
issue,Kriminalitaet,991,14.329,38.85,66.599,0.206,0.451
issue,Freiheit,991,42.785,86.276,50.656,0.107,0.282
