Topic,Tier,Label,chi2,p,Note,p_fdr
Child support,generic,Verantwortung,0.545,0.761,,0.904
Child support,generic,Konflikt,1.898,0.387,,0.904
Child support,generic,Betroffenheit,,,cell count < 5,
Child support,generic,Wirtschaftlichkeit,0.113,0.945,,0.945
Child support,generic,Moral,1.932,0.381,,0.904
Child support,issue,Armutsbekaempfung,0.277,0.871,,0.919
Child support,issue,Buerokratie,1.358,0.507,,0.904
Child support,issue,Bildungschancen,0.718,0.698,,0.904
Child support,issue,Finanzierung,0.919,0.632,,0.904
Child support,issue,Umsetzung,0.386,0.824,,0.919
Cannabis,generic,Verantwortung,0.915,0.633,,0.904
Cannabis,generic,Konflikt,6.796,0.033,,0.635
Cannabis,generic,Betroffenheit,1.233,0.54,,0.904
Cannabis,generic,Wirtschaftlichkeit,2.357,0.308,,0.904
Cannabis,generic,Moral,0.671,0.715,,0.904
Cannabis,issue,Jugendschutz,1.866,0.393,,0.904
Cannabis,issue,Kriminalitaet,0.758,0.685,,0.904
Cannabis,issue,Gesundheit,3.2,0.202,,0.904
Cannabis,issue,Freiheit,2.188,0.335,,0.904
Cannabis,issue,Regulierung,3.246,0.197,,0.904
